id,email,label
1,"Win money now!","spam"
2,"Important information about your account","not spam"
3,"Cheap loans available","spam"
4,"Meeting on Friday","not spam"
5,"Get rich quick","spam"
6,"Your invoice is ready","not spam"
7,"Earn money while you sleep","spam"
8,"Team lunch tomorrow","not spam"
9,"Congratulations! You've won a prize!","spam"
10,"Your account has been updated","not spam"
11,"Exclusive offer just for you!","spam"
12,"Reminder: Meeting at 3 PM","not spam"
13,"Special promotion on electronics","spam"
14,"Monthly newsletter from our company","not spam"
15,"Get paid to work from home","spam"
16,"Urgent: Verify your account details","spam"
17,"Thank you for your purchase","not spam"
18,"Update: Your subscription is active","not spam"
19,"Limited time offer on health products","spam"
20,"Your feedback is appreciated","not spam"
21,"Earn extra cash with minimal effort","spam"
22,"Invitation to our annual conference","not spam"
23,"Check out these amazing deals!","spam"
24,"Confirmation of your recent transaction","not spam"
25,"Donâ€™t miss out on these savings","spam"
26,"Newsletter: Latest updates and news","not spam"
27,"Free trial of our premium service","spam"
28,"Upcoming webinar on AI trends","not spam"
29,"Win a gift card worth $1000","spam"
30,"Details about your recent inquiry","not spam"
31,"Exclusive discount on our new product","spam"
32,"Follow-up: Project status update","not spam"
33,"Special sale on all items","spam"
34,"Invitation to our product launch event","not spam"
35,"New job opportunities available","spam"
36,"Monthly report: Sales figures","not spam"
37,"Claim your free prize now!","spam"
38,"Your appointment is confirmed","not spam"
39,"Limited offer: Save big on travel","spam"
40,"Weekly update from our team","not spam"
41,"Get rich quick schemes you need to know","spam"
42,"Reminder: Pay your bill","not spam"
43,"Special investment opportunity","spam"
44,"Your recent support request status","not spam"
45,"Earn money from home in your spare time","spam"
46,"Update on your recent request","not spam"
47,"Hot deals on vacation packages","spam"
48,"Confirmation of your order","not spam"
49,"Get exclusive access to our new service","spam"
50,"Thank you for your subscription","not spam"
